ratio,transmission,normalized,ymin,ymax,voltage,d_preciptator_nm,z_140nm,zstar,legend,legend2,legend3
0.100200211215049,0.653120772086215,0.742005923342813,0.709191381912599,0.774820464773027,120,38.7861165296249,1.54747064591103E-08,1.54437862669756E-07,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.116900246419462,0.601657481021421,0.683538839708621,0.651566726159298,0.715510953257945,140,42.0803559677809,1.54747064591103E-08,1.32375310857634E-07,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.133600281622277,0.559566637520469,0.635719727943977,0.606291642168946,0.665147813719008,160,45.1739346392716,1.54747064591103E-08,1.15828397000399E-07,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.15030031682261,0.522008285195824,0.593049947580286,0.564757893692467,0.621342001468105,180,48.1039623454829,1.54747064591103E-08,1.02958575113146E-07,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.16700035202784,0.482585700778024,0.548262226225087,0.521785750659756,0.574738701790417,200,50.8974366604709,1.54747064591103E-08,9.26627176003232E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.183700387227741,0.441642039035013,0.501746419600813,0.477210084777428,0.526282754424199,220,53.5747220908064,1.54747064591103E-08,8.42388341834343E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.200400422430328,0.41399158182251,0.4703329293067,0.446579117643768,0.494086740969633,240,56.1516270332147,1.54747064591103E-08,7.72189313347895E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.217100457632654,0.391308770448418,0.44456314656976,0.421754651388273,0.467371641751247,260,58.6407128873231,1.54747064591103E-08,7.12790135398719E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.250500528037775,0.347502888929497,0.394795592154875,0.374558443594102,0.415032740715647,300,63.3943367717211,1.54747064591103E-08,6.17751450678651E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.275550580845567,0.307855699783932,0.349752698945503,0.330748697006839,0.368756700884168,330,66.7927452281831,1.54747064591103E-08,5.61592227881499E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.300600633645503,0.280102331519797,0.31822229212821,0.300635892887302,0.335808691369118,360,70.070084272973,1.54747064591103E-08,5.14792875565245E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.325650686449245,0.245786305914165,0.279236096384307,0.263139493265186,0.295332699503428,390,73.2416668397323,1.54747064591103E-08,4.75193423598761E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.350700739258055,0.220358419038184,0.250347652643953,0.235466458576094,0.265228846711812,420,76.3198931610774,1.54747064591103E-08,4.41251036192531E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.375750792056777,0.18702966046283,0.212483084041148,0.199279416033306,0.22568675204899,450,79.3149700294599,1.54747064591103E-08,4.11834300452308E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.40080084486073,0.172976482431545,0.196517367152836,0.184093766784432,0.208940967521239,480,82.2354168124156,1.54747064591103E-08,3.86094656673877E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.42585089766441,0.154793847030718,0.175860202741572,0.164074553288749,0.187645852194396,510,85.0884307119701,1.54747064591103E-08,3.63383206281395E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.450900950474385,0.133982525929735,0.152216606963424,0.141579467328235,0.162853746598613,540,87.880156352251,1.54747064591103E-08,3.43195250372164E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.475951003272623,0.116222605700547,0.132039686290605,0.122193060351802,0.141886312229409,570,90.6158886238895,1.54747064591103E-08,3.25132342461866E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.501001056082453,0.102591213321383,0.116553157120141,0.107977996778321,0.12512831746196,600,93.3002279404162,1.54747064591103E-08,3.08875725335069E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.526051108880041,0.097047994342919,0.110255544959884,0.101836059572216,0.118675030347552,630,95.9372008505268,1.54747064591103E-08,2.94167357465625E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.551101161691422,0.074019608118315,0.084093157061698,0.07710802293559,0.091078291187807,660,98.5303550345091,1.54747064591103E-08,2.80796113940603E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.576151214495115,0.064745024820828,0.073556368098013,0.066740577810028,0.080372158385998,690,101.082835000796,1.54747064591103E-08,2.68587587247749E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.601201267298974,0.052309024854174,0.059427915854068,0.053181794022086,0.06567403768605,720,103.597443096011,1.54747064591103E-08,2.57396437779211E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.626251320102982,0.042098403412263,0.047827700526804,0.042404260298538,0.05325114075507,750,106.076689143173,1.54747064591103E-08,2.47100580268089E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.651301372907137,0.032151698209002,0.036527318585208,0.032113798844395,0.040940838326021,780,108.522831206238,1.54747064591103E-08,2.37596711796226E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.684701443312052,0.025443244673229,0.028905891625973,0.025249514674581,0.032562268577366,820,111.736357072714,1.54747064591103E-08,2.26006628294162E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.709751496116511,0.020653497501476,0.023464293494892,0.019937284368622,0.026991302621162,850,114.112865400193,1.54747064591103E-08,2.18029923766023E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.768201619326659,0.008724863938995,0.009912256660304,0.00766566322836,0.012158850092248,920,119.555606999279,1.54747064591103E-08,2.01440690435854E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.835001760128358,0.00485973129809,0.005521106605627,0.003921754705897,0.007120458505357,1000,125.61846064476,1.54747064591103E-08,1.85325435203053E-08,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0,0.880209647308257,1,1,1,0,0,1.54747064591103E-08,0,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.036129883851562,0.588893437244671,0.946040399225718,0.880930572336506,1.01115022611493,30,22.7945362583251,1.54747064591103E-08,4.28307672471008E-07,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.072259767703129,0.521303866405295,0.837459694235095,0.779319212630801,0.895600175839389,60,32.6669494630515,1.54747064591103E-08,2.14153836235489E-07,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.108389651554753,0.436232376011354,0.700794787403109,0.650262116671725,0.751327458134493,90,40.4295103541486,1.54747064591103E-08,1.42769224156914E-07,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.144519535406314,0.382592980851536,0.614624639118476,0.569287384896671,0.659961893340281,120,47.1063804929845,1.54747064591103E-08,1.07076918117702E-07,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.180649419260923,0.326564157976105,0.524615943811524,0.485091305866354,0.564140581756694,150,53.0935125639322,1.54747064591103E-08,8.56615344927253E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.216779303109488,0.271111193533648,0.435532348543684,0.402009451390667,0.469055245696701,180,58.5936075016337,1.54747064591103E-08,7.13846120784628E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.252909186965229,0.249164620402971,0.400275808916878,0.369817149968057,0.430734467865698,210,63.7268635359723,1.54747064591103E-08,6.11868103519619E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.28903907081714,0.207018822633731,0.332569794847761,0.30596232395714,0.359177265738383,240,68.5714566973905,1.54747064591103E-08,5.35384590580157E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.3251689546645,0.1690615029712,0.271592450601761,0.248357951686436,0.294826949517086,270,73.1815911299602,1.54747064591103E-08,4.75897413856027E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.361298838521318,0.158025216822554,0.253862973766553,0.230577998537026,0.277147948996081,300,77.5966616171465,1.54747064591103E-08,4.28307672464252E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.397428722373223,0.127950822118197,0.205549322139358,0.186286869773326,0.224811774505389,330,81.8463542272899,1.54747064591103E-08,3.8937061133136E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.433558606225681,0.102837170503965,0.165204961858648,0.148508156675553,0.181901767041744,360,85.9536900163754,1.54747064591103E-08,3.56923060386794E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.469688490070997,0.093857131520441,0.15077878705734,0.135740808778824,0.165816765335855,390,89.9369427168308,1.54747064591103E-08,3.29467440361828E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.505818373922913,0.071251864412559,0.114464074467905,0.101693492729726,0.127234656206084,420,93.8109010478764,1.54747064591103E-08,3.05934051764373E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.541948257774386,0.051118115658076,0.08211978515349,0.072129987749662,0.092109582557318,450,97.5877301158174,1.54747064591103E-08,2.85538448313501E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.578078141633695,0.050006145714393,0.080333437364711,0.070783857624114,0.089883017105307,480,101.277577290614,1.54747064591103E-08,2.67692295290349E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.614208025478419,0.031448809697478,0.050521609852844,0.043784923416428,0.05725829628926,510,104.889009455049,1.54747064591103E-08,2.51945689688062E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.650337909337843,0.022494345652681,0.036136520456318,0.030264571450015,0.042008469462622,540,108.429335655263,1.54747064591103E-08,2.37948706924778E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.722597677033405,0.010232917912131,0.016438888828735,0.012764772488239,0.02011300516923,600,115.321016433285,1.54747064591103E-08,2.14153836234862E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.758727560885471,0.005798957309957,0.009315858424698,0.006744606345898,0.011887110503498,630,118.68261491301,1.54747064591103E-08,2.03956034509286E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.818944033970519,0.003723605962654,0.005981866070627,0.004003692628147,0.007960039513107,680,124.17522510737,1.54747064591103E-08,1.8895926726621E-08,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0,0.622482335560561,1,1,1,0,0,1.54747064591103E-08,0,"140 nm, qc = 0.8 L/min",140 nm,qc = 0.8 L/min
0.044533427207474,0.359210137881241,0.999247972461593,0.891180925134202,1.10731501978898,20,25.3954665999956,1.54747064591103E-08,3.47485191000821E-07,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.089066854413383,0.318928345839136,0.887192396127885,0.789738826536994,0.984645965718775,40,36.4530512151024,1.54747064591103E-08,1.73742595503464E-07,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.133600281622277,0.248630613368331,0.691638709769169,0.612639969483818,0.77063745005452,60,45.1739346392716,1.54747064591103E-08,1.15828397000399E-07,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.178133708829598,0.21981582524817,0.611481955909676,0.542683642791665,0.680280269027687,80,52.6941506584453,1.54747064591103E-08,8.68712977503511E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.222667136033565,0.18701577790531,0.520239038888128,0.458877086247842,0.581600991528414,100,59.4527080364316,1.54747064591103E-08,6.94970382013522E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.267200563244353,0.164303145689437,0.457057214942835,0.403613311806175,0.510501118079494,120,65.6742525584421,1.54747064591103E-08,5.79141985002436E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.311733990451819,0.123135233552728,0.34253663661026,0.300540645128679,0.384532628091841,140,71.4919378377703,1.54747064591103E-08,4.96407415716255E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.356267417654064,0.097838620561452,0.272166715007336,0.23576628813099,0.308567141883682,160,76.9923281102392,1.54747064591103E-08,4.34356488758012E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.40080084486073,0.087688592680799,0.243931446259091,0.209378609203583,0.278484283314599,180,82.2354168124156,1.54747064591103E-08,3.86094656673877E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.445334272067947,0.067313254903731,0.187251489835682,0.161405013019428,0.213097966651935,200,87.2647864123878,1.54747064591103E-08,3.47485191006123E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.556667840091731,0.037070123672282,0.103121382199615,0.085139780105688,0.121102984293543,250,99.1009842188309,1.54747064591103E-08,2.77988152801504E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.623467980902802,0.026942731583944,0.074949081522676,0.059675396081136,0.090222766964215,280,105.802891429376,1.54747064591103E-08,2.48203707858461E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.712534835316717,0.012838332803173,0.035713574508299,0.026088184983928,0.045338964032669,320,114.375226651183,1.54747064591103E-08,2.17178244376388E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.823868403325639,0.003990325939729,0.01110025771615,0.005442070985021,0.016758444447279,370,124.618735624126,1.54747064591103E-08,1.87829832976297E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.890668544146016,0.001171726528072,0.00325949975789,0.00084884811639,0.00567015139939,400,130.557657409294,1.54747064591103E-08,1.73742595501087E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
1.00200211215288,0.000144279324773,0.000401355105392,-0.000405479303632,0.001208189514417,450,140.170027191223,1.54747064591103E-08,1.54437862669388E-08,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0,0.359480477099539,1,1,1,0,0,1.54747064591103E-08,0,"140 nm, qc = 0.6 L/min",140 nm,qc = 0.6 L/min
0.057608285234017,0.348977567430726,0.944132450138652,0.836448185758357,1.05181671451895,20,25.3954665999956,2.00180259977721E-08,3.47485191000821E-07,"120 nm, qc = 0.6 L/min",120 nm,qc = 0.6 L/min
0.115216570466009,0.284127598278471,0.768685756765479,0.678536468446005,0.858835045084954,40,36.4530512151024,2.00180259977721E-08,1.73742595503464E-07,"120 nm, qc = 0.6 L/min",120 nm,qc = 0.6 L/min
0.172824855701862,0.200416942978764,0.542212901582566,0.474466273526852,0.60995952963828,60,45.1739346392716,2.00180259977721E-08,1.15828397000399E-07,"120 nm, qc = 0.6 L/min",120 nm,qc = 0.6 L/min
0.23043314093568,0.196208386954728,0.530826971135023,0.461836064094622,0.599817878175424,80,52.6941506584453,2.00180259977721E-08,8.68712977503511E-08,"120 nm, qc = 0.6 L/min",120 nm,qc = 0.6 L/min
